current_time,temp,humidity,main
2026-03-05 05:36:47,11.76,40,Clear
2026-03-05 06:08:16,11.76,43,Haze
2026-03-05 07:09:59,11.76,43,Haze
2026-03-05 07:55:17,10.76,46,Haze
2026-03-05 08:43:57,10.76,46,Haze
2026-03-05 09:29:12,7.36,73,Rain
2026-03-05 10:09:28,5.74,86,Rain
2026-03-05 11:00:56,4.74,91,Rain
2026-03-05 11:43:33,3.76,93,Rain
2026-03-05 12:03:41,3.76,93,Rain
2026-03-05 13:23:52,1.86,97,Rain
2026-03-05 14:11:33,-0.24,100,Snow
2026-03-05 15:07:30,0.76,100,Snow
2026-03-05 16:02:04,0.76,100,Snow
2026-03-05 18:16:38,2.22,86,Clouds
2026-03-05 19:37:57,-0.24,100,Mist
2026-03-05 20:20:42,-0.24,100,Mist
2026-03-05 20:57:29,-0.24,100,Mist
2026-03-05 21:42:59,0.76,100,Mist
2026-03-05 22:02:57,0.76,100,Mist
2026-03-05 23:19:40,2,78,Clouds
2026-03-06 00:00:21,1.76,93,Mist
2026-03-06 02:46:35,3.76,81,Mist
2026-03-06 04:24:09,3.76,75,Clouds
2026-03-06 05:30:43,3.76,70,Mist
2026-03-06 06:08:03,3.76,70,Mist
2026-03-06 07:07:29,4.26,45,Clouds
2026-03-06 07:51:17,4.12,44,Clouds
2026-03-06 08:26:54,2.76,70,Clouds
2026-03-06 09:04:39,3.31,46,Clouds
2026-03-06 09:53:55,2.76,65,Haze
2026-03-06 10:32:14,0.76,75,Clouds
2026-03-06 11:04:33,0.76,75,Haze
2026-03-06 11:40:50,1.76,64,Clouds
2026-03-06 11:59:38,0.88,43,Clouds
2026-03-06 13:16:56,-0.24,69,Clouds
2026-03-06 14:03:46,-0.24,69,Clouds
2026-03-06 14:53:54,-0.24,64,Clouds
2026-03-06 15:34:54,-0.5,36,Clear
2026-03-06 16:04:28,-0.5,36,Clear
2026-03-06 16:57:46,-1.24,64,Clear
2026-03-06 17:42:43,-1.24,69,Clear
2026-03-06 18:24:09,-1.32,34,Clear
2026-03-06 19:08:39,-3.24,80,Clear
2026-03-06 19:47:36,-3.24,80,Clear
2026-03-06 20:16:27,-1.4,34,Clear
2026-03-06 20:50:56,-3.24,80,Clear
2026-03-06 21:19:42,-1.48,34,Clear
2026-03-06 21:48:34,-3.24,68,Clear
2026-03-06 22:13:47,-3.24,68,Clear
2026-03-06 22:49:08,-3.24,68,Clear
2026-03-06 23:15:21,-1.24,59,Clear
2026-03-06 23:44:38,-1.24,59,Clear
2026-03-07 00:00:25,-0.76,30,Clear
2026-03-07 02:40:29,1.76,35,Clear
2026-03-07 04:13:59,3.47,16,Clear
2026-03-07 05:09:49,4.4,16,Clear
2026-03-07 05:52:12,4.92,16,Clear
2026-03-07 06:30:21,4.76,33,Clear
2026-03-07 07:05:50,4.82,17,Clear
2026-03-07 07:40:33,4.33,17,Clear
2026-03-07 07:56:44,4.76,33,Clear
2026-03-07 08:37:53,4.76,30,Clear
2026-03-07 09:00:50,4.76,30,Clear
2026-03-07 09:38:55,3.68,19,Clear
2026-03-07 09:56:19,2.76,35,Clear
2026-03-07 10:28:41,3.2,21,Clear
2026-03-07 10:51:18,1.76,41,Clear
2026-03-07 11:12:23,-0.24,51,Clear
2026-03-07 11:34:08,-0.24,51,Clear
2026-03-07 11:50:19,1.86,26,Clear
2026-03-07 12:20:38,1.86,26,Clear
2026-03-07 13:11:34,-2.24,64,Clear
2026-03-07 13:49:47,-2.24,64,Clear
2026-03-07 14:12:28,0.28,30,Clear
2026-03-07 14:43:14,-2.24,64,Clear
2026-03-07 14:58:48,-2.24,64,Clear
2026-03-07 15:32:30,-2.24,64,Clear
2026-03-07 15:50:32,-2.24,64,Clear
2026-03-07 16:14:33,-3.24,74,Clear
